Disciplina;2007.2;2008.1;2008.2;2009.1;2009.2;2010.1;2010.2;2011.1;2011.2;2012.1;2012.2;2013.1;2013.2;2014.1;2014.2
MÉTODOS NUMÉRICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
DISTRIBUIÇÃO DE ENERGIA ELÉTRICA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
SEMINARIOS I;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DESENHO TECNICO IV;4;4;11;1;2;6;6;8;3;3;6;10;9;11;0
CALCULO II -B-;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0
PROGRAMAÇÃO DE COMPUTADORES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
ESTAGIO CURRICULAR EM ENG ELETRICA;4;4;1;1;3;1;1;0;2;1;6;10;12;10;0
TOPICOS ESPEC. EM SISTEMAS ELETRICOS IV;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
APROVEITAMENTO ENERGÉTICO;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
FÍSICA I;0;0;0;0;0;0;0;0;0;0;0;38;47;48;12
FENOMENOS DE TRANSPORTE E HIDRAULICA I;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
OPERACAO DE SISTEMAS DE POTENCIA;0;0;0;1;1;0;1;0;1;1;4;11;2;1;0
PRÁTICA DESPORTIVA I;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
TÓPICOS EM AUTOMAÇÃO I;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
PROGRAMAÇÃO DE COMPUTADORES III;15;13;9;11;7;16;2;17;24;3;25;24;15;19;0
FUNDAMENTOS DO DESENHO TÉCNICO I;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
INSTALAÇÕES ELÉTRICAS EM BAIXA TENSÃO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
ENGENHARIA VERDE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
ANALISE ECONOMICA SISTEMAS ELETRICOS;1;5;3;7;7;7;6;12;0;4;9;18;2;12;0
CONVERSAO ELETROMECANICA DE ENERGIA IV;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0
NATAÇÃO;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
CALCULO III -A-;0;0;0;0;0;0;0;0;0;0;0;36;35;36;0
APLICACAO DE COMPUT EM SIST ELETRICOS I;14;17;14;18;23;18;27;18;8;4;35;14;28;39;0
EXERCÍCIO PROFISSIONAL E CIDADANIA EM ENGENHARIA ELÉTRICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
FÍSICA II;0;0;0;0;0;0;0;0;0;0;0;10;9;9;27
MÉTODOS COMPUTACIONAIS PARA ENGENHARIA ELÉTRICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
CÁLCULO II-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
CALCULO DIFER E INTEGRAL APLICADO I;41;28;34;33;23;16;33;30;18;3;26;0;0;0;0
TOPICOS ESPEC. EM SISTEMAS ELETRICOS V;0;0;0;0;1;0;0;0;0;0;1;0;2;6;0
FÍSICA EXPERIMENTAL I;0;0;0;0;0;0;0;0;0;0;0;16;9;11;1
ELETRONICA INDUSTRIAL IV;14;1;1;0;1;0;0;0;0;0;5;6;17;1;0
CIRCUITOS ELÉTRICOS DE CORRENTE CONTÍNUA E ALTERNADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
FÍSICA III;0;0;0;0;0;0;0;0;0;0;0;19;19;13;5
ELETRONICA INDUSTRIAL V;0;5;6;8;7;9;25;8;6;4;8;0;1;6;0
MUSCULACAO;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
TRANSMISSAO DE ENERGIA ELETRICA I;1;0;1;0;0;0;0;0;0;1;5;0;7;2;0
PROTECAO DE SISTEMAS DE POTENCIA;4;0;2;1;0;0;0;0;0;0;4;8;3;4;0
MÉTODOS MATEMÁTICOS II;0;0;0;0;0;0;0;0;0;0;0;27;21;11;1
PRÁTICA DESPORTIVA III;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
ELETRÔNICA BÁSICA;0;12;12;3;0;0;0;0;2;0;1;1;0;0;0
TECNOLOGIAS ALTERNATIVAS EM SISTEMAS ELÉTRICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GEOMETRIA ANALÍTICA E CÁLCULO VETORIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
FUTEBOL;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ELETRÔNICA DIGITAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
MECANICA GERAL V;4;3;4;1;2;11;13;15;19;2;24;22;20;40;46
EFICIÊNCIA ENERGÉTICA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
DISTRIBUICAO DE ENERGIA ELETRICA III;5;1;2;9;0;11;8;1;3;2;0;0;0;6;0
TÓPICOS EM INTELIGÊNCIA ARTIFICIAL II;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
GINASTICA MISTA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
LINGUAGENS DE PROGRAMAÇÃO PARA ENGENHARIA ELÉTRICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
FUNDAMENTOS DE ENGENHARIA ECONÔMICA;2;2;3;3;3;5;1;8;4;3;1;5;4;5;0
MEDIDAS ELETRICAS III;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0
DISTRIBUICAO DE ENERGIA ELETRICA I;1;1;1;0;1;0;0;0;0;0;0;2;6;13;0
INTRODUÇÃO ÀOS METODOS NUMÉRICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
RESISTENCIA DOS MATERIAIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
MÁQUINAS TRIFÁSICAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
QUÍMICA GERAL TECNOLÓGICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
SINAIS E SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
CALCULO DIFERENCIAL E INTEGRAL VIII;4;26;20;10;10;6;22;17;10;0;43;0;0;0;0
GEOMETRIA DESCRITIVA;0;0;0;0;0;0;0;0;1;0;0;2;4;0;43
CONDICIONAMENTO FÍSICO;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
FUNDAMENTOS DE ELETRICIDADE;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DESENHO DE PROJETO ENGENHARIA ELETRICA;2;0;0;0;0;0;2;6;7;0;2;0;0;2;0
ANALISE DE SISTEMAS ELETRICOS I;6;11;12;3;0;5;5;5;2;1;9;4;2;2;0
QUÍMICA GERAL INORG EXPERIM II;2;2;0;0;0;3;0;1;4;1;6;8;6;2;8
CIRCUITOS ELETRICOS II;6;12;4;2;9;9;4;5;8;1;7;6;0;2;0
ÁLGEBRA LINEAR APLICADA;42;5;46;25;45;24;1;20;13;8;29;39;35;44;1
EQUIPAMENTOS ELETRICOS I;0;7;2;2;1;3;0;0;5;2;7;5;0;2;0
CONDICIONAMENTO FISICO;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
TRABALHO DE CONCLUSÃO DE CURSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
CONVERSAO ELETROMECANICA DE ENERGIA I;1;1;7;0;2;5;8;4;3;0;5;10;9;9;0
JUDO;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ENGENHARIA E MEIO AMBIENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
ADMINISTRAÇÃO APLICADA À ENGENHARIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
METODOS MATEMATICOS APLICADOS VII;3;18;11;19;30;4;7;4;5;1;5;0;0;0;0
CÁLCULO I-A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
MAQUINAS ELETRICAS III;10;5;13;4;2;4;6;8;13;1;2;1;8;6;0
MATERIAIS ELETRICOS;4;2;1;1;2;0;0;4;3;0;0;2;0;0;0
CIRCUITOS ELETRICOS I;2;3;2;6;1;5;4;0;1;2;0;6;0;0;0
FISICA GERAL E EXPERIMENTAL XXI;5;9;15;13;12;12;6;3;12;4;15;0;0;0;0
FLUXO DE POTÊNCIA EM SISTEMAS ELÉTRICOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
FENOMENOS DE TRANSPORTE V;1;3;0;2;1;1;8;1;7;5;6;4;2;3;0
